customer_id,signup_date,region
1,2021-04-25,North
2,2021-10-09,South
3,2021-08-17,South
4,2021-04-15,North
5,2022-08-28,West
6,2021-02-02,North
7,2021-04-06,South
8,2021-08-27,North
9,2022-07-29,South
10,2022-07-13,West
11,2021-08-14,West
12,2022-08-27,East
13,2021-01-07,South
14,2022-03-09,East
15,2021-10-12,South
16,2021-08-09,East
17,2021-04-15,North
18,2022-01-25,North
19,2022-01-03,East
20,2022-09-11,East
21,2021-02-14,West
22,2022-07-04,North
23,2022-01-23,North
24,2022-07-20,East
25,2022-09-26,East
26,2022-08-15,South
27,2021-03-13,North
28,2021-08-22,East
29,2021-03-23,South
30,2021-04-14,West
31,2021-10-12,West
32,2022-01-09,South
33,2022-01-15,East
34,2021-08-03,East
35,2021-03-15,South
36,2022-07-01,South
37,2021-06-17,West
38,2022-01-24,East
39,2022-07-25,South
40,2021-11-29,North
41,2021-08-23,North
42,2021-11-20,West
43,2021-10-02,North
44,2021-08-05,East
45,2021-08-06,West
46,2022-02-10,West
47,2021-05-27,East
48,2021-05-23,South
49,2022-07-29,East
50,2022-08-22,West
51,2022-08-21,West
52,2022-01-06,South
53,2021-05-22,West
54,2021-04-04,North
55,2021-04-23,South
56,2021-06-13,West
57,2022-09-03,North
58,2022-01-30,West
59,2022-09-03,West
60,2022-06-26,East
61,2022-07-21,North
62,2021-04-28,East
63,2021-12-15,North
64,2021-10-28,West
65,2021-06-11,West
66,2021-01-04,East
67,2022-05-28,South
68,2022-06-04,North
69,2021-11-02,South
70,2021-06-06,East
71,2021-06-15,North
72,2022-09-06,East
73,2022-05-16,North
74,2021-04-25,East
75,2021-11-11,South
76,2021-03-01,South
77,2022-08-04,North
78,2021-03-29,West
79,2021-03-12,South
80,2021-05-12,West
81,2022-07-17,South
82,2021-09-29,West
83,2021-08-05,South
84,2021-11-16,West
85,2022-01-18,West
86,2022-06-14,West
87,2021-05-04,South
88,2021-08-19,North
89,2021-12-13,North
90,2022-08-26,South
91,2022-08-26,South
92,2021-01-08,North
93,2021-03-02,South
94,2021-03-11,North
95,2021-12-05,North
96,2022-06-11,South
97,2021-10-13,West
98,2021-08-08,South
99,2022-08-08,West
100,2021-09-06,West
101,2022-02-21,South
102,2021-04-07,North
103,2022-03-18,East
104,2022-03-10,West
105,2022-04-24,North
106,2021-04-11,North
107,2022-02-17,East
108,2021-04-22,South
109,2021-07-16,South
110,2022-07-04,West
111,2021-05-24,West
112,2021-07-07,East
113,2022-04-19,South
114,2021-03-19,West
115,2022-07-18,North
116,2021-02-21,North
117,2021-04-06,South
118,2021-06-20,West
119,2022-05-13,West
120,2021-08-07,West
121,2021-03-02,South
122,2022-01-24,North
123,2022-02-04,East
124,2022-04-11,East
125,2022-03-10,West
126,2021-06-08,South
127,2021-10-31,South
128,2021-03-01,North
129,2021-11-18,North
130,2021-02-21,West
131,2022-05-30,South
132,2021-02-28,North
133,2021-07-10,North
134,2022-09-02,North
135,2021-08-29,West
136,2021-05-03,South
137,2022-08-16,North
138,2022-09-27,North
139,2022-03-06,East
140,2021-09-25,South
141,2021-11-18,South
142,2021-09-29,West
143,2021-05-15,East
144,2022-04-14,East
145,2021-03-16,North
146,2022-04-15,North
147,2021-03-17,South
148,2022-06-03,East
149,2021-05-16,East
150,2021-03-12,South
151,2022-01-14,East
152,2021-06-11,West
153,2022-07-11,East
154,2022-09-19,North
155,2022-07-22,East
